word_index,emoji,unicode_codepoint
1241,🎃,U+1F383
1242,🎄,U+1F384
1243,🎅,U+1F385
1244,🎆,U+1F386
1245,🎇,U+1F387
1246,🎈,U+1F388
1247,🎉,U+1F389
1248,🎊,U+1F38A
1249,🎋,U+1F38B
1250,🎌,U+1F38C
1251,🎍,U+1F38D
1252,🎎,U+1F38E
1253,🎏,U+1F38F
1254,🎐,U+1F390
1255,🎑,U+1F391
1256,🎒,U+1F392
1257,🎓,U+1F393
1258,🎔,U+1F394
1259,🎕,U+1F395
1260,🎖,U+1F396
1261,🎗,U+1F397
1262,🎘,U+1F398
1263,🎙,U+1F399
1264,🎚,U+1F39A
1265,🎛,U+1F39B
1266,🎜,U+1F39C
1267,🎝,U+1F39D
1268,🎞,U+1F39E
1269,🎟,U+1F39F
1270,🎠,U+1F3A0
1271,🎡,U+1F3A1
1272,🎢,U+1F3A2
1273,🎣,U+1F3A3
1274,🎤,U+1F3A4
1275,🎥,U+1F3A5
1276,🎦,U+1F3A6
1277,🎧,U+1F3A7
1278,🎨,U+1F3A8
1279,🎩,U+1F3A9
1280,🎪,U+1F3AA
1281,🎫,U+1F3AB
1282,🎬,U+1F3AC
1283,🎭,U+1F3AD
1284,🎮,U+1F3AE
1285,🎯,U+1F3AF
1286,🎰,U+1F3B0
1287,🎱,U+1F3B1
1288,🎲,U+1F3B2
1289,🎳,U+1F3B3
1290,🎴,U+1F3B4
1291,🎵,U+1F3B5
1292,🎶,U+1F3B6
1293,🎷,U+1F3B7
1294,🎸,U+1F3B8
1295,🎹,U+1F3B9
1296,🎺,U+1F3BA
1297,🎻,U+1F3BB
1298,🎼,U+1F3BC
1299,🎽,U+1F3BD
1300,🎾,U+1F3BE
1301,🎿,U+1F3BF
1302,🏀,U+1F3C0
1303,🏁,U+1F3C1
1304,🏂,U+1F3C2
1305,🏃,U+1F3C3
1306,🏄,U+1F3C4
1307,🏅,U+1F3C5
1308,🏆,U+1F3C6
1309,🏇,U+1F3C7
1310,🏈,U+1F3C8
1311,🏉,U+1F3C9
1312,🏊,U+1F3CA
1313,🏋,U+1F3CB
1314,🏌,U+1F3CC
1315,🏍,U+1F3CD
1316,🏎,U+1F3CE
1317,🏏,U+1F3CF
1318,🏐,U+1F3D0
1319,🏑,U+1F3D1
1320,🏒,U+1F3D2
1321,🏓,U+1F3D3
1322,🏔,U+1F3D4
1323,🏕,U+1F3D5
1324,🏖,U+1F3D6
1325,🏗,U+1F3D7
1326,🏘,U+1F3D8
1327,🏙,U+1F3D9
1328,🏚,U+1F3DA
1329,🏛,U+1F3DB
1330,🏜,U+1F3DC
1331,🏝,U+1F3DD
1332,🏞,U+1F3DE
1333,🏟,U+1F3DF
1334,🏠,U+1F3E0
1335,🏡,U+1F3E1
1336,🏢,U+1F3E2
1337,🏣,U+1F3E3
1338,🏤,U+1F3E4
1339,🏥,U+1F3E5
1340,🏦,U+1F3E6
1341,🏧,U+1F3E7
1342,🏨,U+1F3E8
1343,🏩,U+1F3E9
1344,🏪,U+1F3EA
1345,🏫,U+1F3EB
1346,🏬,U+1F3EC
1347,🏭,U+1F3ED
1348,🏮,U+1F3EE
1349,🏯,U+1F3EF
1350,🏰,U+1F3F0
1351,🏱,U+1F3F1
1352,🏲,U+1F3F2
1353,🏳,U+1F3F3
1354,🏴,U+1F3F4
1355,🏵,U+1F3F5
1356,🏶,U+1F3F6
1357,🏷,U+1F3F7
1358,🏸,U+1F3F8
1359,🏹,U+1F3F9
1360,🏺,U+1F3FA
1361,🏻,U+1F3FB
1362,🏼,U+1F3FC
1363,🏽,U+1F3FD
1364,🏾,U+1F3FE
1365,🏿,U+1F3FF
1366,🐀,U+1F400
1367,🐁,U+1F401
1368,🐂,U+1F402
1369,🐃,U+1F403
1370,🐄,U+1F404
1371,🐅,U+1F405
1372,🐆,U+1F406
1373,🐇,U+1F407
1374,🐈,U+1F408
1375,🐉,U+1F409
1376,🐊,U+1F40A
1377,🐋,U+1F40B
1378,🐌,U+1F40C
1379,🐍,U+1F40D
1380,🐎,U+1F40E
1381,🐏,U+1F40F
1382,🐐,U+1F410
1383,🐑,U+1F411
1384,🐒,U+1F412
1385,🐓,U+1F413
1386,🐔,U+1F414
1387,🐕,U+1F415
1388,🐖,U+1F416
1389,🐗,U+1F417
1390,🐘,U+1F418
1391,🐙,U+1F419
1392,🐚,U+1F41A
1393,🐛,U+1F41B
1394,🐜,U+1F41C
1395,🐝,U+1F41D
1396,🐞,U+1F41E
1397,🐟,U+1F41F
1398,🐠,U+1F420
1399,🐡,U+1F421
1400,🐢,U+1F422
1401,🐣,U+1F423
1402,🐤,U+1F424
1403,🐥,U+1F425
1404,🐦,U+1F426
1405,🐧,U+1F427
1406,🐨,U+1F428
1407,🐩,U+1F429
1408,🐪,U+1F42A
1409,🐫,U+1F42B
1410,🐬,U+1F42C
1411,🐭,U+1F42D
1412,🐮,U+1F42E
1413,🐯,U+1F42F
1414,🐰,U+1F430
1415,🐱,U+1F431
1416,🐲,U+1F432
1417,🐳,U+1F433
1418,🐴,U+1F434
1419,🐵,U+1F435
1420,🐶,U+1F436
1421,🐷,U+1F437
1422,🐸,U+1F438
1423,🐹,U+1F439
1424,🐺,U+1F43A
1425,🐻,U+1F43B
1426,🐼,U+1F43C
1427,🐽,U+1F43D
1428,🐾,U+1F43E
1429,🐿,U+1F43F
1430,👀,U+1F440
1431,👁,U+1F441
1432,👂,U+1F442
1433,👃,U+1F443
1434,👄,U+1F444
1435,👅,U+1F445
1436,👆,U+1F446
1437,👇,U+1F447
1438,👈,U+1F448
1439,👉,U+1F449
1440,👊,U+1F44A
1441,👋,U+1F44B
1442,👌,U+1F44C
1443,👍,U+1F44D
1444,👎,U+1F44E
1445,👏,U+1F44F
1446,👐,U+1F450
1447,👑,U+1F451
1448,👒,U+1F452
1449,👓,U+1F453
1450,👔,U+1F454
1451,👕,U+1F455
1452,👖,U+1F456
1453,👗,U+1F457
1454,👘,U+1F458
1455,👙,U+1F459
1456,👚,U+1F45A
1457,👛,U+1F45B
1458,👜,U+1F45C
1459,👝,U+1F45D
1460,👞,U+1F45E
1461,👟,U+1F45F
1462,👠,U+1F460
1463,👡,U+1F461
1464,👢,U+1F462
1465,👣,U+1F463
1466,👤,U+1F464
1467,👥,U+1F465
1468,👦,U+1F466
1469,👧,U+1F467
1470,👨,U+1F468
1471,👩,U+1F469
1472,👪,U+1F46A
1473,👫,U+1F46B
1474,👬,U+1F46C
1475,👭,U+1F46D
1476,👮,U+1F46E
1477,👯,U+1F46F
1478,👰,U+1F470
1479,👱,U+1F471
1480,👲,U+1F472
1481,👳,U+1F473
1482,👴,U+1F474
1483,👵,U+1F475
1484,👶,U+1F476
1485,👷,U+1F477
1486,👸,U+1F478
1487,👹,U+1F479
1488,👺,U+1F47A
1489,👻,U+1F47B
1490,👼,U+1F47C
1491,👽,U+1F47D
1492,👾,U+1F47E
1493,👿,U+1F47F
1494,💀,U+1F480
1495,💁,U+1F481
1496,💂,U+1F482
1497,💃,U+1F483
1498,💄,U+1F484
1499,💅,U+1F485
1500,💆,U+1F486
1501,💇,U+1F487
1502,💈,U+1F488
1503,💉,U+1F489
1504,💊,U+1F48A
1505,💋,U+1F48B
1506,💌,U+1F48C
1507,💍,U+1F48D
1508,💎,U+1F48E
1509,💏,U+1F48F
1510,💐,U+1F490
1511,💑,U+1F491
1512,💒,U+1F492
1513,💓,U+1F493
1514,💔,U+1F494
1515,💕,U+1F495
1516,💖,U+1F496
1517,💗,U+1F497
1518,💘,U+1F498
1519,💙,U+1F499
1520,💚,U+1F49A
1521,💛,U+1F49B
1522,💜,U+1F49C
1523,💝,U+1F49D
1524,💞,U+1F49E
1525,💟,U+1F49F
1526,💠,U+1F4A0
1527,💡,U+1F4A1
1528,💢,U+1F4A2
1529,💣,U+1F4A3
1530,💤,U+1F4A4
1531,💥,U+1F4A5
1532,💦,U+1F4A6
1533,💧,U+1F4A7
1534,💨,U+1F4A8
1535,💩,U+1F4A9
1536,💪,U+1F4AA
1537,💫,U+1F4AB
1538,💬,U+1F4AC
1539,💭,U+1F4AD
1540,💮,U+1F4AE
1541,💯,U+1F4AF
1542,💰,U+1F4B0
1543,💱,U+1F4B1
1544,💲,U+1F4B2
1545,💳,U+1F4B3
1546,💴,U+1F4B4
1547,💵,U+1F4B5
1548,💶,U+1F4B6
1549,💷,U+1F4B7
1550,💸,U+1F4B8
1551,💹,U+1F4B9
1552,💺,U+1F4BA
1553,💻,U+1F4BB
1554,💼,U+1F4BC
1555,💽,U+1F4BD
1556,💾,U+1F4BE
1557,💿,U+1F4BF
1558,📀,U+1F4C0
1559,📁,U+1F4C1
1560,📂,U+1F4C2
1561,📃,U+1F4C3
1562,📄,U+1F4C4
1563,📅,U+1F4C5
1564,📆,U+1F4C6
1565,📇,U+1F4C7
1566,📈,U+1F4C8
1567,📉,U+1F4C9
1568,📊,U+1F4CA
1569,📋,U+1F4CB
1570,📌,U+1F4CC
1571,📍,U+1F4CD
1572,📎,U+1F4CE
1573,📏,U+1F4CF
1574,📐,U+1F4D0
1575,📑,U+1F4D1
1576,📒,U+1F4D2
1577,📓,U+1F4D3
1578,📔,U+1F4D4
1579,📕,U+1F4D5
1580,📖,U+1F4D6
1581,📗,U+1F4D7
1582,📘,U+1F4D8
1583,📙,U+1F4D9
1584,📚,U+1F4DA
1585,📛,U+1F4DB
1586,📜,U+1F4DC
1587,📝,U+1F4DD
1588,📞,U+1F4DE
1589,📟,U+1F4DF
1590,📠,U+1F4E0
1591,📡,U+1F4E1
1592,📢,U+1F4E2
1593,📣,U+1F4E3
1594,📤,U+1F4E4
1595,📥,U+1F4E5
1596,📦,U+1F4E6
1597,📧,U+1F4E7
1598,📨,U+1F4E8
1599,📩,U+1F4E9
1600,📪,U+1F4EA
1601,📫,U+1F4EB
1602,📬,U+1F4EC
1603,📭,U+1F4ED
1604,📮,U+1F4EE
1605,📯,U+1F4EF
1606,📰,U+1F4F0
1607,📱,U+1F4F1
1608,📲,U+1F4F2
1609,📳,U+1F4F3
1610,📴,U+1F4F4
1611,📵,U+1F4F5
1612,📶,U+1F4F6
1613,📷,U+1F4F7
1614,📸,U+1F4F8
1615,📹,U+1F4F9
1616,📺,U+1F4FA
1617,📻,U+1F4FB
1618,📼,U+1F4FC
1619,📽,U+1F4FD
1620,📾,U+1F4FE
1621,📿,U+1F4FF
1622,🔀,U+1F500
1623,🔁,U+1F501
1624,🔂,U+1F502
1625,🔃,U+1F503
1626,🔄,U+1F504
1627,🔅,U+1F505
1628,🔆,U+1F506
1629,🔇,U+1F507
1630,🔈,U+1F508
1631,🔉,U+1F509
1632,🔊,U+1F50A
1633,🔋,U+1F50B
1634,🔌,U+1F50C
1635,🔍,U+1F50D
1636,🔎,U+1F50E
1637,🔏,U+1F50F
1638,🔐,U+1F510
1639,🔑,U+1F511
1640,🔒,U+1F512
1641,🔓,U+1F513
1642,🔔,U+1F514
1643,🔕,U+1F515
1644,🔖,U+1F516
1645,🔗,U+1F517
1646,🔘,U+1F518
1647,🔙,U+1F519
1648,🔚,U+1F51A
1649,🔛,U+1F51B
1650,🔜,U+1F51C
1651,🔝,U+1F51D
1652,🔞,U+1F51E
1653,🔟,U+1F51F
1654,🔠,U+1F520
1655,🔡,U+1F521
1656,🔢,U+1F522
1657,🔣,U+1F523
1658,🔤,U+1F524
1659,🔥,U+1F525
1660,🔦,U+1F526
1661,🔧,U+1F527
1662,🔨,U+1F528
1663,🔩,U+1F529
1664,🔪,U+1F52A
1665,🔫,U+1F52B
1666,🔬,U+1F52C
1667,🔭,U+1F52D
1668,🔮,U+1F52E
1669,🔯,U+1F52F
1670,🔰,U+1F530
1671,🔱,U+1F531
1672,🔲,U+1F532
1673,🔳,U+1F533
1674,🔴,U+1F534
1675,🔵,U+1F535
1676,🔶,U+1F536
1677,🔷,U+1F537
1678,🔸,U+1F538
1679,🔹,U+1F539
1680,🔺,U+1F53A
1681,🔻,U+1F53B
1682,🔼,U+1F53C
1683,🔽,U+1F53D
1684,🔾,U+1F53E
1685,🔿,U+1F53F
1686,🕀,U+1F540
1687,🕁,U+1F541
1688,🕂,U+1F542
1689,🕃,U+1F543
1690,🕄,U+1F544
1691,🕅,U+1F545
1692,🕆,U+1F546
1693,🕇,U+1F547
1694,🕈,U+1F548
1695,🕉,U+1F549
1696,🕊,U+1F54A
1697,🕋,U+1F54B
1698,🕌,U+1F54C
1699,🕍,U+1F54D
1700,🕎,U+1F54E
1701,🕏,U+1F54F
1702,🕐,U+1F550
1703,🕑,U+1F551
1704,🕒,U+1F552
1705,🕓,U+1F553
1706,🕔,U+1F554
1707,🕕,U+1F555
1708,🕖,U+1F556
1709,🕗,U+1F557
1710,🕘,U+1F558
1711,🕙,U+1F559
1712,🕚,U+1F55A
1713,🕛,U+1F55B
1714,🕜,U+1F55C
1715,🕝,U+1F55D
1716,🕞,U+1F55E
1717,🕟,U+1F55F
1718,🕠,U+1F560
1719,🕡,U+1F561
1720,🕢,U+1F562
1721,🕣,U+1F563
1722,🕤,U+1F564
1723,🕥,U+1F565
1724,🕦,U+1F566
1725,🕧,U+1F567
1726,🕨,U+1F568
1727,🕩,U+1F569
1728,🕪,U+1F56A
1729,🕫,U+1F56B
1730,🕬,U+1F56C
1731,🕭,U+1F56D
1732,🕮,U+1F56E
1733,🕯,U+1F56F
1734,🕰,U+1F570
1735,🕱,U+1F571
1736,🕲,U+1F572
1737,🕳,U+1F573
1738,🕴,U+1F574
1739,🕵,U+1F575
1740,🕶,U+1F576
1741,🕷,U+1F577
1742,🕸,U+1F578
1743,🕹,U+1F579
1744,🕺,U+1F57A
1745,🕻,U+1F57B
1746,🕼,U+1F57C
1747,🕽,U+1F57D
1748,🕾,U+1F57E
1749,🕿,U+1F57F
1750,🖀,U+1F580
1751,🖁,U+1F581
1752,🖂,U+1F582
1753,🖃,U+1F583
1754,🖄,U+1F584
1755,🖅,U+1F585
1756,🖆,U+1F586
1757,🖇,U+1F587
1758,🖈,U+1F588
1759,🖉,U+1F589
1760,🖊,U+1F58A
1761,🖋,U+1F58B
1762,🖌,U+1F58C
1763,🖍,U+1F58D
1764,🖎,U+1F58E
1765,🖏,U+1F58F
1766,🖐,U+1F590
1767,🖑,U+1F591
1768,🖒,U+1F592
1769,🖓,U+1F593
1770,🖔,U+1F594
1771,🖕,U+1F595
1772,🖖,U+1F596
1773,🖗,U+1F597
1774,🖘,U+1F598
1775,🖙,U+1F599
1776,🖚,U+1F59A
1777,🖛,U+1F59B
1778,🖜,U+1F59C
1779,🖝,U+1F59D
1780,🖞,U+1F59E
1781,🖟,U+1F59F
1782,🖠,U+1F5A0
1783,🖡,U+1F5A1
1784,🖢,U+1F5A2
1785,🖣,U+1F5A3
1786,🖤,U+1F5A4
1787,🖥,U+1F5A5
1788,🖦,U+1F5A6
1789,🖧,U+1F5A7
1790,🖨,U+1F5A8
1791,🖩,U+1F5A9
1792,🖪,U+1F5AA
1793,🖫,U+1F5AB
1794,🖬,U+1F5AC
1795,🖭,U+1F5AD
1796,🖮,U+1F5AE
1797,🖯,U+1F5AF
1798,🖰,U+1F5B0
1799,🖱,U+1F5B1
1800,🖲,U+1F5B2
1801,🖳,U+1F5B3
1802,🖴,U+1F5B4
1803,🖵,U+1F5B5
1804,🖶,U+1F5B6
1805,🖷,U+1F5B7
1806,🖸,U+1F5B8
1807,🖹,U+1F5B9
1808,🖺,U+1F5BA
1809,🖻,U+1F5BB
1810,🖼,U+1F5BC
1811,🖽,U+1F5BD
1812,🖾,U+1F5BE
1813,🖿,U+1F5BF
1814,🗀,U+1F5C0
1815,🗁,U+1F5C1
1816,🗂,U+1F5C2
1817,🗃,U+1F5C3
1818,🗄,U+1F5C4
1819,🗅,U+1F5C5
1820,🗆,U+1F5C6
1821,🗇,U+1F5C7
1822,🗈,U+1F5C8
1823,🗉,U+1F5C9
1824,🗊,U+1F5CA
1825,🗋,U+1F5CB
1826,🗌,U+1F5CC
1827,🗍,U+1F5CD
1828,🗎,U+1F5CE
1829,🗏,U+1F5CF
1830,🗐,U+1F5D0
1831,🗑,U+1F5D1
1832,🗒,U+1F5D2
1833,🗓,U+1F5D3
1834,🗔,U+1F5D4
1835,🗕,U+1F5D5
1836,🗖,U+1F5D6
1837,🗗,U+1F5D7
1838,🗘,U+1F5D8
1839,🗙,U+1F5D9
1840,🗚,U+1F5DA
1841,🗛,U+1F5DB
1842,🗜,U+1F5DC
1843,🗝,U+1F5DD
1844,🗞,U+1F5DE
1845,🗟,U+1F5DF
1846,🗠,U+1F5E0
1847,🗡,U+1F5E1
1848,🗢,U+1F5E2
1849,🗣,U+1F5E3
1850,🗤,U+1F5E4
1851,🗥,U+1F5E5
1852,🗦,U+1F5E6
1853,🗧,U+1F5E7
1854,🗨,U+1F5E8
1855,🗩,U+1F5E9
1856,🗪,U+1F5EA
1857,🗫,U+1F5EB
1858,🗬,U+1F5EC
1859,🗭,U+1F5ED
1860,🗮,U+1F5EE
1861,🗯,U+1F5EF
1862,🗰,U+1F5F0
1863,🗱,U+1F5F1
1864,🗲,U+1F5F2
1865,🗳,U+1F5F3
1866,🗴,U+1F5F4
1867,🗵,U+1F5F5
1868,🗶,U+1F5F6
1869,🗷,U+1F5F7
1870,🗸,U+1F5F8
1871,🗹,U+1F5F9
1872,🗺,U+1F5FA
1873,🗻,U+1F5FB
1874,🗼,U+1F5FC
1875,🗽,U+1F5FD
1876,🗾,U+1F5FE
1877,🗿,U+1F5FF
1878,😀,U+1F600
1879,😁,U+1F601
1880,😂,U+1F602
1881,😃,U+1F603
1882,😄,U+1F604
1883,😅,U+1F605
1884,😆,U+1F606
1885,😇,U+1F607
1886,😈,U+1F608
1887,😉,U+1F609
1888,😊,U+1F60A
1889,😋,U+1F60B
1890,😌,U+1F60C
1891,😍,U+1F60D
1892,😎,U+1F60E
1893,😏,U+1F60F
1894,😐,U+1F610
1895,😑,U+1F611
1896,😒,U+1F612
1897,😓,U+1F613
1898,😔,U+1F614
1899,😕,U+1F615
1900,😖,U+1F616
1901,😗,U+1F617
1902,😘,U+1F618
1903,😙,U+1F619
1904,😚,U+1F61A
1905,😛,U+1F61B
1906,😜,U+1F61C
1907,😝,U+1F61D
1908,😞,U+1F61E
1909,😟,U+1F61F
1910,😠,U+1F620
1911,😡,U+1F621
1912,😢,U+1F622
1913,😣,U+1F623
1914,😤,U+1F624
1915,😥,U+1F625
1916,😦,U+1F626
1917,😧,U+1F627
1918,😨,U+1F628
1919,😩,U+1F629
1920,😪,U+1F62A
1921,😫,U+1F62B
1922,😬,U+1F62C
1923,😭,U+1F62D
1924,😮,U+1F62E
1925,😯,U+1F62F
1926,😰,U+1F630
1927,😱,U+1F631
1928,😲,U+1F632
1929,😳,U+1F633
1930,😴,U+1F634
1931,😵,U+1F635
1932,😶,U+1F636
1933,😷,U+1F637
1934,😸,U+1F638
1935,😹,U+1F639
1936,😺,U+1F63A
1937,😻,U+1F63B
1938,😼,U+1F63C
1939,😽,U+1F63D
1940,😾,U+1F63E
1941,😿,U+1F63F
1942,🙀,U+1F640
1943,🙁,U+1F641
1944,🙂,U+1F642
1945,🙃,U+1F643
1946,🙄,U+1F644
1947,🙅,U+1F645
1948,🙆,U+1F646
1949,🙇,U+1F647
1950,🙈,U+1F648
1951,🙉,U+1F649
1952,🙊,U+1F64A
1953,🙋,U+1F64B
1954,🙌,U+1F64C
1955,🙍,U+1F64D
1956,🙎,U+1F64E
1957,🙏,U+1F64F
1958,🚀,U+1F680
1959,🚁,U+1F681
1960,🚂,U+1F682
1961,🚃,U+1F683
1962,🚄,U+1F684
1963,🚅,U+1F685
1964,🚆,U+1F686
1965,🚇,U+1F687
1966,🚈,U+1F688
1967,🚉,U+1F689
1968,🚊,U+1F68A
1969,🚋,U+1F68B
1970,🚌,U+1F68C
1971,🚍,U+1F68D
1972,🚎,U+1F68E
1973,🚏,U+1F68F
1974,🚐,U+1F690
1975,🚑,U+1F691
1976,🚒,U+1F692
1977,🚓,U+1F693
1978,🚔,U+1F694
1979,🚕,U+1F695
1980,🚖,U+1F696
1981,🚗,U+1F697
1982,🚘,U+1F698
1983,🚙,U+1F699
1984,🚚,U+1F69A
1985,🚛,U+1F69B
1986,🚜,U+1F69C
1987,🚝,U+1F69D
1988,🚞,U+1F69E
1989,🚟,U+1F69F
1990,🚠,U+1F6A0
1991,🚡,U+1F6A1
1992,🚢,U+1F6A2
1993,🚣,U+1F6A3
1994,🚤,U+1F6A4
1995,🚥,U+1F6A5
1996,🚦,U+1F6A6
1997,🚧,U+1F6A7
1998,🚨,U+1F6A8
1999,🚩,U+1F6A9
2000,🚪,U+1F6AA
2001,🚫,U+1F6AB
2002,🚬,U+1F6AC
2003,🚭,U+1F6AD
2004,🚮,U+1F6AE
2005,🚯,U+1F6AF
2006,🚰,U+1F6B0
2007,🚱,U+1F6B1
2008,🚲,U+1F6B2
2009,🚳,U+1F6B3
2010,🚴,U+1F6B4
2011,🚵,U+1F6B5
2012,🚶,U+1F6B6
2013,🚷,U+1F6B7
2014,🚸,U+1F6B8
2015,🚹,U+1F6B9
2016,🚺,U+1F6BA
2017,🚻,U+1F6BB
2018,🚼,U+1F6BC
2019,🚽,U+1F6BD
2020,🚾,U+1F6BE
2021,🚿,U+1F6BF
2022,🛀,U+1F6C0
2023,🛁,U+1F6C1
2024,🛂,U+1F6C2
2025,🛃,U+1F6C3
2026,🛄,U+1F6C4
2027,🛅,U+1F6C5
2028,🛆,U+1F6C6
2029,🛇,U+1F6C7
2030,🛈,U+1F6C8
2031,🛉,U+1F6C9
2032,🛊,U+1F6CA
2033,🛋,U+1F6CB
2034,🛌,U+1F6CC
2035,🛍,U+1F6CD
2036,🛎,U+1F6CE
2037,🛏,U+1F6CF
2038,🛐,U+1F6D0
2039,🛑,U+1F6D1
2040,🛒,U+1F6D2
2041,🛓,U+1F6D3
2042,🛔,U+1F6D4
2043,🛕,U+1F6D5
2044,🛖,U+1F6D6
2045,🛗,U+1F6D7
2046,🛜,U+1F6DC
2047,🛝,U+1F6DD
