word_index,emoji,unicode_codepoint
285,⎧,U+23A7
286,⎨,U+23A8
287,⎩,U+23A9
288,⎪,U+23AA
289,⎫,U+23AB
290,⎬,U+23AC
291,⎭,U+23AD
292,⎮,U+23AE
293,⎯,U+23AF
294,⎰,U+23B0
295,⎱,U+23B1
296,⎲,U+23B2
297,⎳,U+23B3
298,⎴,U+23B4
299,⎵,U+23B5
300,⎶,U+23B6
301,⎷,U+23B7
302,⎸,U+23B8
303,⎹,U+23B9
304,⎺,U+23BA
305,⎻,U+23BB
306,⎼,U+23BC
307,⎽,U+23BD
308,⎾,U+23BE
309,⎿,U+23BF
310,⏀,U+23C0
311,⏁,U+23C1
312,⏂,U+23C2
313,⏃,U+23C3
314,⏄,U+23C4
315,⏅,U+23C5
316,⏆,U+23C6
317,⏇,U+23C7
318,⏈,U+23C8
319,⏉,U+23C9
320,⏊,U+23CA
321,⏋,U+23CB
322,⏌,U+23CC
323,⏍,U+23CD
324,⏎,U+23CE
325,⏏,U+23CF
326,⏐,U+23D0
327,⏑,U+23D1
328,⏒,U+23D2
329,⏓,U+23D3
330,⏔,U+23D4
331,⏕,U+23D5
332,⏖,U+23D6
333,⏗,U+23D7
334,⏘,U+23D8
335,⏙,U+23D9
336,⏚,U+23DA
337,⏛,U+23DB
338,⏜,U+23DC
339,⏝,U+23DD
340,⏞,U+23DE
341,⏟,U+23DF
342,⏠,U+23E0
343,⏡,U+23E1
344,⏢,U+23E2
345,⏣,U+23E3
346,⏤,U+23E4
347,⏥,U+23E5
348,⏦,U+23E6
349,⏧,U+23E7
350,⏨,U+23E8
351,⏩,U+23E9
352,⏪,U+23EA
353,⏫,U+23EB
354,⏬,U+23EC
355,⏭,U+23ED
356,⏮,U+23EE
357,⏯,U+23EF
358,⏰,U+23F0
359,⏱,U+23F1
360,⏲,U+23F2
361,⏳,U+23F3
362,⏴,U+23F4
363,⏵,U+23F5
364,⏶,U+23F6
365,⏷,U+23F7
366,⏸,U+23F8
367,⏹,U+23F9
368,⏺,U+23FA
